=======================================================
🏟️  FULL 9-INNING BASEBALL SIMULATION START
=======================================================
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 28 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 28 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 28 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 28 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 31 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:0 B:2 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 31 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Bot 3 | AWAY 34 - 31 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: FOUL       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: FOUL       | Bot 3 | AWAY 34 - 31 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 34 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 34 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 34 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 34 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 34 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 34 HOME | O:0 S:1 B:1 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 34 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: FAIR       | Bot 3 | AWAY 34 - 34 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 34 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: FAIR       | Bot 3 | AWAY 34 - 35 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 35 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 35 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: FAIR       | Bot 3 | AWAY 34 - 36 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 36 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 36 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 36 HOME | O:0 S:2 B:1 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 36 HOME | O:0 S:2 B:2 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 36 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 36 HOME | O:1 S:0 B:1 | Bases: 111
Outcome: FOUL       | Bot 3 | AWAY 34 - 36 HOME | O:1 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 36 HOME | O:1 S:1 B:1 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 36 HOME | O:1 S:2 B:1 | Bases: 111
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 40 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 40 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 40 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 40 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 40 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 40 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 40 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Bot 3 | AWAY 34 - 40 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 43 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 43 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:2 B:1 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:0 B:1 | Bases: 110
Outcome: FOUL       | Bot 3 | AWAY 34 - 43 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 46 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 46 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 46 HOME | O:2 S:1 B:1 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 46 HOME | O:2 S:2 B:1 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 46 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 46 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 46 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 46 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 34 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 34 - 46 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: HOME RUN   | Top 4 | AWAY 35 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Top 4 | AWAY 36 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 36 - 46 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 36 - 46 HOME | O:0 S:0 B:2 | Bases: 000
Outcome: FAIR       | Top 4 | AWAY 36 - 46 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 36 - 46 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: FAIR       | Top 4 | AWAY 36 - 46 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Top 4 | AWAY 36 - 46 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Top 4 | AWAY 39 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 39 - 46 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Top 4 | AWAY 39 - 46 HOME | O:0 S:1 B:1 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 39 - 46 HOME | O:0 S:1 B:2 | Bases: 000
Outcome: HOME RUN   | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 4 | AWAY 40 - 46 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 4 | AWAY 40 - 46 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: FAIR       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FAIR       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:1 | Bases: 110
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:2 | Bases: 110
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:3 | Bases: 110
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FOUL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: STRIKE     | Top 4 | AWAY 40 - 46 HOME | O:0 S:2 B:0 | Bases: 111
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:2 B:1 | Bases: 111
Outcome: BALL       | Top 4 | AWAY 40 - 46 HOME | O:0 S:2 B:2 | Bases: 111
Outcome: STRIKE     | Top 4 | AWAY 40 - 46 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: FAIR       | Top 4 | AWAY 41 - 46 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: FAIR       | Top 4 | AWAY 42 - 46 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: BALL       | Top 4 | AWAY 42 - 46 HOME | O:1 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Top 4 | AWAY 42 - 46 HOME | O:1 S:1 B:1 | Bases: 111
Outcome: BALL       | Top 4 | AWAY 42 - 46 HOME | O:1 S:1 B:2 | Bases: 111
Outcome: STRIKE     | Top 4 | AWAY 42 - 46 HOME | O:1 S:2 B:2 | Bases: 111
Outcome: FOUL       | Top 4 | AWAY 42 - 46 HOME | O:1 S:1 B:0 | Bases: 111
Outcome: BALL       | Top 4 | AWAY 42 - 46 HOME | O:1 S:1 B:1 | Bases: 111
Outcome: HOME RUN   | Top 4 | AWAY 46 - 46 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 46 - 46 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 46 - 46 HOME | O:1 S:0 B:2 | Bases: 000
Outcome: STRIKE     | Top 4 | AWAY 46 - 46 HOME | O:1 S:1 B:2 | Bases: 000
Outcome: BALL       | Top 4 | AWAY 46 - 46 HOME | O:1 S:1 B:3 | Bases: 000
Outcome: FAIR       | Top 4 | AWAY 46 - 46 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 46 - 46 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: BALL       | Top 4 | AWAY 46 - 46 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: BALL       | Top 4 | AWAY 46 - 46 HOME | O:1 S:1 B:2 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 46 - 46 HOME | O:1 S:2 B:2 | Bases: 100
Outcome: HOME RUN   | Top 4 | AWAY 48 - 46 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Top 4 | AWAY 48 - 46 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 48 - 46 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 48 - 46 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: BALL       | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:2 | Bases: 100
Outcome: BALL       | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:3 | Bases: 100
Outcome: FAIR       | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: BALL       | Top 4 | AWAY 48 - 46 HOME | O:2 S:0 B:1 | Bases: 110
Outcome: STRIKE     | Top 4 | AWAY 48 - 46 HOME | O:2 S:1 B:1 | Bases: 110
Outcome: STRIKE     | Top 4 | AWAY 48 - 46 HOME | O:2 S:2 B:1 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 46 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 46 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 46 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 48 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 48 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 48 HOME | O:0 S:0 B:2 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 48 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:0 S:2 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 48 HOME | O:0 S:2 B:1 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 48 HOME | O:1 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 48 HOME | O:1 S:0 B:1 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:1 S:1 B:1 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:1 S:2 B:1 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 48 HOME | O:1 S:2 B:2 | Bases: 110
Outcome: FAIR       | Bot 4 | AWAY 48 - 48 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 48 HOME | O:1 S:1 B:0 | Bases: 111
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 52 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 52 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 52 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 52 HOME | O:1 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 52 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: FAIR       | Bot 4 | AWAY 48 - 52 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 53 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 57 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 58 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 58 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 58 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 58 HOME | O:1 S:1 B:1 | Bases: 000
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 59 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 59 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 59 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 59 HOME | O:1 S:0 B:0 | Bases: 110
Outcome: FOUL       | Bot 4 | AWAY 48 - 59 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 62 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 62 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 62 HOME | O:1 S:0 B:1 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 62 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 64 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 65 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 65 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 65 HOME | O:1 S:1 B:1 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 65 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 65 HOME | O:1 S:1 B:1 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 65 HOME | O:1 S:2 B:1 | Bases: 000
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 66 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 66 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 66 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 66 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 66 HOME | O:1 S:2 B:1 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 66 HOME | O:1 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 66 HOME | O:1 S:0 B:1 | Bases: 110
Outcome: FOUL       | Bot 4 | AWAY 48 - 66 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 69 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 69 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 69 HOME | O:1 S:0 B:1 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 69 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: FOUL       | Bot 4 | AWAY 48 - 69 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 69 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 71 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 71 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 71 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 71 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:1 S:2 B:1 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 71 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:2 S:0 B:2 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 71 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:2 S:0 B:1 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 71 HOME | O:2 S:1 B:1 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 71 HOME | O:2 S:2 B:1 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 71 HOME | O:2 S:2 B:2 | Bases: 110
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 74 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 74 HOME | O:2 S:1 B:1 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:1 B:2 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 74 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 74 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: BALL       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:2 B:1 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 74 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Bot 4 | AWAY 48 - 74 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 77 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 78 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 78 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:1 B:1 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:1 B:2 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 78 HOME | O:2 S:2 B:2 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 78 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:0 B:1 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 78 HOME | O:2 S:0 B:2 | Bases: 110
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 81 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 81 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Bot 4 | AWAY 48 - 81 HOME | O:2 S:2 B:0 | Bases: 000
Outcome: FOUL       | Bot 4 | AWAY 48 - 81 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 81 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 4 | AWAY 48 - 83 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: FAIR       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:1 | Bases: 110
Outcome: FAIR       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 83 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 83 HOME | O:2 S:2 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 83 HOME | O:2 S:2 B:1 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 84 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 84 HOME | O:2 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 84 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 84 HOME | O:2 S:1 B:2 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 84 HOME | O:2 S:2 B:2 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 85 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 85 HOME | O:2 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 85 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 85 HOME | O:2 S:1 B:2 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 85 HOME | O:2 S:1 B:3 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 86 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 86 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 86 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 87 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:0 B:1 | Bases: 111
Outcome: FOUL       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: FOUL       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 4 | AWAY 48 - 88 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 89 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: FAIR       | Bot 4 | AWAY 48 - 90 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: FOUL       | Bot 4 | AWAY 48 - 90 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: STRIKE     | Bot 4 | AWAY 48 - 90 HOME | O:2 S:2 B:0 | Bases: 111
Outcome: STRIKE     | Top 5 | AWAY 48 - 90 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 5 | AWAY 48 - 90 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Top 5 | AWAY 48 - 90 HOME | O:0 S:1 B:1 | Bases: 000
Outcome: STRIKE     | Top 5 | AWAY 48 - 90 HOME | O:0 S:2 B:1 | Bases: 000
Outcome: FOUL       | Top 5 | AWAY 48 - 90 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 5 | AWAY 48 - 90 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: STRIKE     | Top 5 | AWAY 48 - 90 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 5 | AWAY 48 - 90 HOME | O:1 S:0 B:1 | Bases: 000
